Date,Country,Product,Price_EUR_per_kg
2022-01-01,Netherlands,Whole Milk,0.8
2022-01-01,Netherlands,Skim Milk,0.64
2022-01-01,Netherlands,Cheese,1.19
2022-01-01,Netherlands,Butter,1.51
2022-01-01,Germany,Whole Milk,0.68
2022-01-01,Germany,Skim Milk,0.66
2022-01-01,Germany,Cheese,1.12
2022-01-01,Germany,Butter,1.57
2022-01-01,France,Whole Milk,0.67
2022-01-01,France,Skim Milk,0.68
2022-01-01,France,Cheese,1.29
2022-01-01,France,Butter,1.49
2022-01-01,Poland,Whole Milk,0.73
2022-01-01,Poland,Skim Milk,0.58
2022-01-01,Poland,Cheese,1.25
2022-01-01,Poland,Butter,1.5
2022-01-01,Italy,Whole Milk,0.77
2022-01-01,Italy,Skim Milk,0.69
2022-01-01,Italy,Cheese,1.26
2022-01-01,Italy,Butter,1.48
2022-02-01,Netherlands,Whole Milk,0.76
2022-02-01,Netherlands,Skim Milk,0.58
2022-02-01,Netherlands,Cheese,1.21
2022-02-01,Netherlands,Butter,1.49
2022-02-01,Germany,Whole Milk,0.77
2022-02-01,Germany,Skim Milk,0.65
2022-02-01,Germany,Cheese,1.17
2022-02-01,Germany,Butter,1.39
2022-02-01,France,Whole Milk,0.85
2022-02-01,France,Skim Milk,0.65
2022-02-01,France,Cheese,1.22
2022-02-01,France,Butter,1.46
2022-02-01,Poland,Whole Milk,0.68
2022-02-01,Poland,Skim Milk,0.71
2022-02-01,Poland,Cheese,1.22
2022-02-01,Poland,Butter,1.47
2022-02-01,Italy,Whole Milk,0.81
2022-02-01,Italy,Skim Milk,0.61
2022-02-01,Italy,Cheese,1.14
2022-02-01,Italy,Butter,1.37
2022-03-01,Netherlands,Whole Milk,0.74
2022-03-01,Netherlands,Skim Milk,0.63
2022-03-01,Netherlands,Cheese,1.31
2022-03-01,Netherlands,Butter,1.5
2022-03-01,Germany,Whole Milk,0.73
2022-03-01,Germany,Skim Milk,0.61
2022-03-01,Germany,Cheese,1.15
2022-03-01,Germany,Butter,1.51
2022-03-01,France,Whole Milk,0.69
2022-03-01,France,Skim Milk,0.66
2022-03-01,France,Cheese,1.15
2022-03-01,France,Butter,1.49
2022-03-01,Poland,Whole Milk,0.77
2022-03-01,Poland,Skim Milk,0.66
2022-03-01,Poland,Cheese,1.29
2022-03-01,Poland,Butter,1.41
2022-03-01,Italy,Whole Milk,0.71
2022-03-01,Italy,Skim Milk,0.69
2022-03-01,Italy,Cheese,1.24
2022-03-01,Italy,Butter,1.59
2022-04-01,Netherlands,Whole Milk,0.78
2022-04-01,Netherlands,Skim Milk,0.7
2022-04-01,Netherlands,Cheese,1.24
2022-04-01,Netherlands,Butter,1.51
2022-04-01,Germany,Whole Milk,0.74
2022-04-01,Germany,Skim Milk,0.64
2022-04-01,Germany,Cheese,1.12
2022-04-01,Germany,Butter,1.46
2022-04-01,France,Whole Milk,0.69
2022-04-01,France,Skim Milk,0.67
2022-04-01,France,Cheese,1.18
2022-04-01,France,Butter,1.53
2022-04-01,Poland,Whole Milk,0.74
2022-04-01,Poland,Skim Milk,0.66
2022-04-01,Poland,Cheese,1.22
2022-04-01,Poland,Butter,1.53
2022-04-01,Italy,Whole Milk,0.7
2022-04-01,Italy,Skim Milk,0.6
2022-04-01,Italy,Cheese,1.2
2022-04-01,Italy,Butter,1.56
2022-05-01,Netherlands,Whole Milk,0.8
2022-05-01,Netherlands,Skim Milk,0.65
2022-05-01,Netherlands,Cheese,1.22
2022-05-01,Netherlands,Butter,1.49
2022-05-01,Germany,Whole Milk,0.84
2022-05-01,Germany,Skim Milk,0.63
2022-05-01,Germany,Cheese,1.24
2022-05-01,Germany,Butter,1.47
2022-05-01,France,Whole Milk,0.79
2022-05-01,France,Skim Milk,0.6
2022-05-01,France,Cheese,1.18
2022-05-01,France,Butter,1.49
2022-05-01,Poland,Whole Milk,0.77
2022-05-01,Poland,Skim Milk,0.69
2022-05-01,Poland,Cheese,1.14
2022-05-01,Poland,Butter,1.47
2022-05-01,Italy,Whole Milk,0.79
2022-05-01,Italy,Skim Milk,0.66
2022-05-01,Italy,Cheese,1.33
2022-05-01,Italy,Butter,1.45
2022-06-01,Netherlands,Whole Milk,0.81
2022-06-01,Netherlands,Skim Milk,0.73
2022-06-01,Netherlands,Cheese,1.22
2022-06-01,Netherlands,Butter,1.53
2022-06-01,Germany,Whole Milk,0.76
2022-06-01,Germany,Skim Milk,0.66
2022-06-01,Germany,Cheese,1.19
2022-06-01,Germany,Butter,1.46
2022-06-01,France,Whole Milk,0.77
2022-06-01,France,Skim Milk,0.62
2022-06-01,France,Cheese,1.25
2022-06-01,France,Butter,1.43
2022-06-01,Poland,Whole Milk,0.76
2022-06-01,Poland,Skim Milk,0.71
2022-06-01,Poland,Cheese,1.23
2022-06-01,Poland,Butter,1.48
2022-06-01,Italy,Whole Milk,0.85
2022-06-01,Italy,Skim Milk,0.69
2022-06-01,Italy,Cheese,1.16
2022-06-01,Italy,Butter,1.49
2022-07-01,Netherlands,Whole Milk,0.78
2022-07-01,Netherlands,Skim Milk,0.74
2022-07-01,Netherlands,Cheese,1.22
2022-07-01,Netherlands,Butter,1.49
2022-07-01,Germany,Whole Milk,0.79
2022-07-01,Germany,Skim Milk,0.61
2022-07-01,Germany,Cheese,1.19
2022-07-01,Germany,Butter,1.56
2022-07-01,France,Whole Milk,0.81
2022-07-01,France,Skim Milk,0.61
2022-07-01,France,Cheese,1.1
2022-07-01,France,Butter,1.56
2022-07-01,Poland,Whole Milk,0.72
2022-07-01,Poland,Skim Milk,0.73
2022-07-01,Poland,Cheese,1.17
2022-07-01,Poland,Butter,1.49
2022-07-01,Italy,Whole Milk,0.73
2022-07-01,Italy,Skim Milk,0.6
2022-07-01,Italy,Cheese,1.13
2022-07-01,Italy,Butter,1.49
2022-08-01,Netherlands,Whole Milk,0.62
2022-08-01,Netherlands,Skim Milk,0.77
2022-08-01,Netherlands,Cheese,1.17
2022-08-01,Netherlands,Butter,1.51
2022-08-01,Germany,Whole Milk,0.84
2022-08-01,Germany,Skim Milk,0.61
2022-08-01,Germany,Cheese,1.19
2022-08-01,Germany,Butter,1.49
2022-08-01,France,Whole Milk,0.81
2022-08-01,France,Skim Milk,0.65
2022-08-01,France,Cheese,1.09
2022-08-01,France,Butter,1.49
2022-08-01,Poland,Whole Milk,0.65
2022-08-01,Poland,Skim Milk,0.68
2022-08-01,Poland,Cheese,1.24
2022-08-01,Poland,Butter,1.49
2022-08-01,Italy,Whole Milk,0.76
2022-08-01,Italy,Skim Milk,0.71
2022-08-01,Italy,Cheese,1.22
2022-08-01,Italy,Butter,1.57
2022-09-01,Netherlands,Whole Milk,0.77
2022-09-01,Netherlands,Skim Milk,0.71
2022-09-01,Netherlands,Cheese,1.18
2022-09-01,Netherlands,Butter,1.52
2022-09-01,Germany,Whole Milk,0.84
2022-09-01,Germany,Skim Milk,0.6
2022-09-01,Germany,Cheese,1.15
2022-09-01,Germany,Butter,1.49
2022-09-01,France,Whole Milk,0.81
2022-09-01,France,Skim Milk,0.61
2022-09-01,France,Cheese,1.16
2022-09-01,France,Butter,1.5
2022-09-01,Poland,Whole Milk,0.74
2022-09-01,Poland,Skim Milk,0.63
2022-09-01,Poland,Cheese,1.14
2022-09-01,Poland,Butter,1.52
2022-09-01,Italy,Whole Milk,0.74
2022-09-01,Italy,Skim Milk,0.62
2022-09-01,Italy,Cheese,1.21
2022-09-01,Italy,Butter,1.49
2022-10-01,Netherlands,Whole Milk,0.71
2022-10-01,Netherlands,Skim Milk,0.64
2022-10-01,Netherlands,Cheese,1.26
2022-10-01,Netherlands,Butter,1.53
2022-10-01,Germany,Whole Milk,0.67
2022-10-01,Germany,Skim Milk,0.67
2022-10-01,Germany,Cheese,1.26
2022-10-01,Germany,Butter,1.46
2022-10-01,France,Whole Milk,0.79
2022-10-01,France,Skim Milk,0.65
2022-10-01,France,Cheese,1.17
2022-10-01,France,Butter,1.44
2022-10-01,Poland,Whole Milk,0.86
2022-10-01,Poland,Skim Milk,0.68
2022-10-01,Poland,Cheese,1.15
2022-10-01,Poland,Butter,1.52
2022-10-01,Italy,Whole Milk,0.74
2022-10-01,Italy,Skim Milk,0.69
2022-10-01,Italy,Cheese,1.11
2022-10-01,Italy,Butter,1.52
2022-11-01,Netherlands,Whole Milk,0.75
2022-11-01,Netherlands,Skim Milk,0.71
2022-11-01,Netherlands,Cheese,1.15
2022-11-01,Netherlands,Butter,1.54
2022-11-01,Germany,Whole Milk,0.75
2022-11-01,Germany,Skim Milk,0.64
2022-11-01,Germany,Cheese,1.3
2022-11-01,Germany,Butter,1.52
2022-11-01,France,Whole Milk,0.69
2022-11-01,France,Skim Milk,0.67
2022-11-01,France,Cheese,1.12
2022-11-01,France,Butter,1.5
2022-11-01,Poland,Whole Milk,0.77
2022-11-01,Poland,Skim Milk,0.71
2022-11-01,Poland,Cheese,1.27
2022-11-01,Poland,Butter,1.46
2022-11-01,Italy,Whole Milk,0.71
2022-11-01,Italy,Skim Milk,0.63
2022-11-01,Italy,Cheese,1.05
2022-11-01,Italy,Butter,1.55
2022-12-01,Netherlands,Whole Milk,0.73
2022-12-01,Netherlands,Skim Milk,0.64
2022-12-01,Netherlands,Cheese,1.15
2022-12-01,Netherlands,Butter,1.45
2022-12-01,Germany,Whole Milk,0.83
2022-12-01,Germany,Skim Milk,0.66
2022-12-01,Germany,Cheese,1.26
2022-12-01,Germany,Butter,1.62
2022-12-01,France,Whole Milk,0.79
2022-12-01,France,Skim Milk,0.6
2022-12-01,France,Cheese,1.16
2022-12-01,France,Butter,1.54
2022-12-01,Poland,Whole Milk,0.77
2022-12-01,Poland,Skim Milk,0.71
2022-12-01,Poland,Cheese,1.24
2022-12-01,Poland,Butter,1.59
2022-12-01,Italy,Whole Milk,0.84
2022-12-01,Italy,Skim Milk,0.68
2022-12-01,Italy,Cheese,1.21
2022-12-01,Italy,Butter,1.6
2023-01-01,Netherlands,Whole Milk,0.64
2023-01-01,Netherlands,Skim Milk,0.63
2023-01-01,Netherlands,Cheese,1.26
2023-01-01,Netherlands,Butter,1.56
2023-01-01,Germany,Whole Milk,0.82
2023-01-01,Germany,Skim Milk,0.72
2023-01-01,Germany,Cheese,1.21
2023-01-01,Germany,Butter,1.54
2023-01-01,France,Whole Milk,0.86
2023-01-01,France,Skim Milk,0.64
2023-01-01,France,Cheese,1.15
2023-01-01,France,Butter,1.52
2023-01-01,Poland,Whole Milk,0.8
2023-01-01,Poland,Skim Milk,0.62
2023-01-01,Poland,Cheese,1.2
2023-01-01,Poland,Butter,1.57
2023-01-01,Italy,Whole Milk,0.72
2023-01-01,Italy,Skim Milk,0.67
2023-01-01,Italy,Cheese,1.22
2023-01-01,Italy,Butter,1.48
2023-02-01,Netherlands,Whole Milk,0.7
2023-02-01,Netherlands,Skim Milk,0.68
2023-02-01,Netherlands,Cheese,1.18
2023-02-01,Netherlands,Butter,1.5
2023-02-01,Germany,Whole Milk,0.7
2023-02-01,Germany,Skim Milk,0.69
2023-02-01,Germany,Cheese,1.25
2023-02-01,Germany,Butter,1.54
2023-02-01,France,Whole Milk,0.73
2023-02-01,France,Skim Milk,0.67
2023-02-01,France,Cheese,1.22
2023-02-01,France,Butter,1.43
2023-02-01,Poland,Whole Milk,0.71
2023-02-01,Poland,Skim Milk,0.74
2023-02-01,Poland,Cheese,1.16
2023-02-01,Poland,Butter,1.5
2023-02-01,Italy,Whole Milk,0.78
2023-02-01,Italy,Skim Milk,0.63
2023-02-01,Italy,Cheese,1.27
2023-02-01,Italy,Butter,1.47
2023-03-01,Netherlands,Whole Milk,0.75
2023-03-01,Netherlands,Skim Milk,0.67
2023-03-01,Netherlands,Cheese,1.2
2023-03-01,Netherlands,Butter,1.47
2023-03-01,Germany,Whole Milk,0.73
2023-03-01,Germany,Skim Milk,0.59
2023-03-01,Germany,Cheese,1.28
2023-03-01,Germany,Butter,1.54
2023-03-01,France,Whole Milk,0.74
2023-03-01,France,Skim Milk,0.63
2023-03-01,France,Cheese,1.21
2023-03-01,France,Butter,1.5
2023-03-01,Poland,Whole Milk,0.74
2023-03-01,Poland,Skim Milk,0.64
2023-03-01,Poland,Cheese,1.25
2023-03-01,Poland,Butter,1.43
2023-03-01,Italy,Whole Milk,0.78
2023-03-01,Italy,Skim Milk,0.63
2023-03-01,Italy,Cheese,1.2
2023-03-01,Italy,Butter,1.54
2023-04-01,Netherlands,Whole Milk,0.7
2023-04-01,Netherlands,Skim Milk,0.64
2023-04-01,Netherlands,Cheese,1.2
2023-04-01,Netherlands,Butter,1.46
2023-04-01,Germany,Whole Milk,0.7
2023-04-01,Germany,Skim Milk,0.68
2023-04-01,Germany,Cheese,1.09
2023-04-01,Germany,Butter,1.42
2023-04-01,France,Whole Milk,0.78
2023-04-01,France,Skim Milk,0.58
2023-04-01,France,Cheese,1.27
2023-04-01,France,Butter,1.5
2023-04-01,Poland,Whole Milk,0.72
2023-04-01,Poland,Skim Milk,0.7
2023-04-01,Poland,Cheese,1.28
2023-04-01,Poland,Butter,1.44
2023-04-01,Italy,Whole Milk,0.78
2023-04-01,Italy,Skim Milk,0.66
2023-04-01,Italy,Cheese,1.08
2023-04-01,Italy,Butter,1.6
2023-05-01,Netherlands,Whole Milk,0.75
2023-05-01,Netherlands,Skim Milk,0.63
2023-05-01,Netherlands,Cheese,1.18
2023-05-01,Netherlands,Butter,1.5
2023-05-01,Germany,Whole Milk,0.66
2023-05-01,Germany,Skim Milk,0.65
2023-05-01,Germany,Cheese,1.17
2023-05-01,Germany,Butter,1.49
2023-05-01,France,Whole Milk,0.82
2023-05-01,France,Skim Milk,0.57
2023-05-01,France,Cheese,1.27
2023-05-01,France,Butter,1.47
2023-05-01,Poland,Whole Milk,0.82
2023-05-01,Poland,Skim Milk,0.66
2023-05-01,Poland,Cheese,1.21
2023-05-01,Poland,Butter,1.34
2023-05-01,Italy,Whole Milk,0.69
2023-05-01,Italy,Skim Milk,0.62
2023-05-01,Italy,Cheese,1.21
2023-05-01,Italy,Butter,1.54
2023-06-01,Netherlands,Whole Milk,0.74
2023-06-01,Netherlands,Skim Milk,0.64
2023-06-01,Netherlands,Cheese,1.16
2023-06-01,Netherlands,Butter,1.46
2023-06-01,Germany,Whole Milk,0.74
2023-06-01,Germany,Skim Milk,0.68
2023-06-01,Germany,Cheese,1.16
2023-06-01,Germany,Butter,1.47
2023-06-01,France,Whole Milk,0.76
2023-06-01,France,Skim Milk,0.62
2023-06-01,France,Cheese,1.17
2023-06-01,France,Butter,1.53
2023-06-01,Poland,Whole Milk,0.77
2023-06-01,Poland,Skim Milk,0.68
2023-06-01,Poland,Cheese,1.15
2023-06-01,Poland,Butter,1.59
2023-06-01,Italy,Whole Milk,0.75
2023-06-01,Italy,Skim Milk,0.66
2023-06-01,Italy,Cheese,1.18
