Date,Country,Product,Price_EUR_per_kg
2023-06-01,Italy,Butter,1.5
2023-07-01,Netherlands,Whole Milk,0.67
2023-07-01,Netherlands,Skim Milk,0.69
2023-07-01,Netherlands,Cheese,1.12
2023-07-01,Netherlands,Butter,1.51
2023-07-01,Germany,Whole Milk,0.72
2023-07-01,Germany,Skim Milk,0.63
2023-07-01,Germany,Cheese,1.14
2023-07-01,Germany,Butter,1.45
2023-07-01,France,Whole Milk,0.71
2023-07-01,France,Skim Milk,0.61
2023-07-01,France,Cheese,1.19
2023-07-01,France,Butter,1.43
2023-07-01,Poland,Whole Milk,0.82
2023-07-01,Poland,Skim Milk,0.51
2023-07-01,Poland,Cheese,1.23
2023-07-01,Poland,Butter,1.49
2023-07-01,Italy,Whole Milk,0.81
2023-07-01,Italy,Skim Milk,0.61
2023-07-01,Italy,Cheese,1.19
2023-07-01,Italy,Butter,1.53
2023-08-01,Netherlands,Whole Milk,0.74
2023-08-01,Netherlands,Skim Milk,0.67
2023-08-01,Netherlands,Cheese,1.18
2023-08-01,Netherlands,Butter,1.42
2023-08-01,Germany,Whole Milk,0.79
2023-08-01,Germany,Skim Milk,0.56
2023-08-01,Germany,Cheese,1.21
2023-08-01,Germany,Butter,1.5
2023-08-01,France,Whole Milk,0.66
2023-08-01,France,Skim Milk,0.67
2023-08-01,France,Cheese,1.12
2023-08-01,France,Butter,1.57
2023-08-01,Poland,Whole Milk,0.78
2023-08-01,Poland,Skim Milk,0.74
2023-08-01,Poland,Cheese,1.11
2023-08-01,Poland,Butter,1.47
2023-08-01,Italy,Whole Milk,0.82
2023-08-01,Italy,Skim Milk,0.64
2023-08-01,Italy,Cheese,1.27
2023-08-01,Italy,Butter,1.52
2023-09-01,Netherlands,Whole Milk,0.79
2023-09-01,Netherlands,Skim Milk,0.67
2023-09-01,Netherlands,Cheese,1.17
2023-09-01,Netherlands,Butter,1.54
2023-09-01,Germany,Whole Milk,0.8
2023-09-01,Germany,Skim Milk,0.69
2023-09-01,Germany,Cheese,1.28
2023-09-01,Germany,Butter,1.51
2023-09-01,France,Whole Milk,0.82
2023-09-01,France,Skim Milk,0.63
2023-09-01,France,Cheese,1.26
2023-09-01,France,Butter,1.46
2023-09-01,Poland,Whole Milk,0.72
2023-09-01,Poland,Skim Milk,0.64
2023-09-01,Poland,Cheese,1.2
2023-09-01,Poland,Butter,1.51
2023-09-01,Italy,Whole Milk,0.66
2023-09-01,Italy,Skim Milk,0.68
2023-09-01,Italy,Cheese,1.21
2023-09-01,Italy,Butter,1.52
2023-10-01,Netherlands,Whole Milk,0.7
2023-10-01,Netherlands,Skim Milk,0.74
2023-10-01,Netherlands,Cheese,1.2
2023-10-01,Netherlands,Butter,1.52
2023-10-01,Germany,Whole Milk,0.73
2023-10-01,Germany,Skim Milk,0.57
2023-10-01,Germany,Cheese,1.15
2023-10-01,Germany,Butter,1.55
2023-10-01,France,Whole Milk,0.7
2023-10-01,France,Skim Milk,0.74
2023-10-01,France,Cheese,1.24
2023-10-01,France,Butter,1.5
2023-10-01,Poland,Whole Milk,0.72
2023-10-01,Poland,Skim Milk,0.68
2023-10-01,Poland,Cheese,1.26
2023-10-01,Poland,Butter,1.58
2023-10-01,Italy,Whole Milk,0.78
2023-10-01,Italy,Skim Milk,0.72
2023-10-01,Italy,Cheese,1.22
2023-10-01,Italy,Butter,1.45
2023-11-01,Netherlands,Whole Milk,0.83
2023-11-01,Netherlands,Skim Milk,0.61
2023-11-01,Netherlands,Cheese,1.21
2023-11-01,Netherlands,Butter,1.52
2023-11-01,Germany,Whole Milk,0.81
2023-11-01,Germany,Skim Milk,0.62
2023-11-01,Germany,Cheese,1.23
2023-11-01,Germany,Butter,1.49
2023-11-01,France,Whole Milk,0.73
2023-11-01,France,Skim Milk,0.66
2023-11-01,France,Cheese,1.17
2023-11-01,France,Butter,1.53
2023-11-01,Poland,Whole Milk,0.75
2023-11-01,Poland,Skim Milk,0.59
2023-11-01,Poland,Cheese,1.09
2023-11-01,Poland,Butter,1.58
2023-11-01,Italy,Whole Milk,0.8
2023-11-01,Italy,Skim Milk,0.7
2023-11-01,Italy,Cheese,1.27
2023-11-01,Italy,Butter,1.44
2023-12-01,Netherlands,Whole Milk,0.76
2023-12-01,Netherlands,Skim Milk,0.64
2023-12-01,Netherlands,Cheese,1.23
2023-12-01,Netherlands,Butter,1.49
2023-12-01,Germany,Whole Milk,0.83
2023-12-01,Germany,Skim Milk,0.68
2023-12-01,Germany,Cheese,1.14
2023-12-01,Germany,Butter,1.53
2023-12-01,France,Whole Milk,0.68
2023-12-01,France,Skim Milk,0.57
2023-12-01,France,Cheese,1.12
2023-12-01,France,Butter,1.52
2023-12-01,Poland,Whole Milk,0.67
2023-12-01,Poland,Skim Milk,0.68
2023-12-01,Poland,Cheese,1.23
2023-12-01,Poland,Butter,1.57
2023-12-01,Italy,Whole Milk,0.76
2023-12-01,Italy,Skim Milk,0.67
2023-12-01,Italy,Cheese,1.11
2023-12-01,Italy,Butter,1.47
2024-01-01,Netherlands,Whole Milk,0.77
2024-01-01,Netherlands,Skim Milk,0.66
2024-01-01,Netherlands,Cheese,1.11
2024-01-01,Netherlands,Butter,1.42
2024-01-01,Germany,Whole Milk,0.78
2024-01-01,Germany,Skim Milk,0.64
2024-01-01,Germany,Cheese,1.24
2024-01-01,Germany,Butter,1.57
2024-01-01,France,Whole Milk,0.75
2024-01-01,France,Skim Milk,0.67
2024-01-01,France,Cheese,1.13
2024-01-01,France,Butter,1.52
2024-01-01,Poland,Whole Milk,0.79
2024-01-01,Poland,Skim Milk,0.61
2024-01-01,Poland,Cheese,1.21
2024-01-01,Poland,Butter,1.56
2024-01-01,Italy,Whole Milk,0.76
2024-01-01,Italy,Skim Milk,0.71
2024-01-01,Italy,Cheese,1.15
2024-01-01,Italy,Butter,1.5
2024-02-01,Netherlands,Whole Milk,0.78
2024-02-01,Netherlands,Skim Milk,0.71
2024-02-01,Netherlands,Cheese,1.21
2024-02-01,Netherlands,Butter,1.56
2024-02-01,Germany,Whole Milk,0.78
2024-02-01,Germany,Skim Milk,0.68
2024-02-01,Germany,Cheese,1.22
2024-02-01,Germany,Butter,1.49
2024-02-01,France,Whole Milk,0.75
2024-02-01,France,Skim Milk,0.7
2024-02-01,France,Cheese,1.24
2024-02-01,France,Butter,1.52
2024-02-01,Poland,Whole Milk,0.81
2024-02-01,Poland,Skim Milk,0.58
2024-02-01,Poland,Cheese,1.29
2024-02-01,Poland,Butter,1.53
2024-02-01,Italy,Whole Milk,0.68
2024-02-01,Italy,Skim Milk,0.65
2024-02-01,Italy,Cheese,1.16
2024-02-01,Italy,Butter,1.57
2024-03-01,Netherlands,Whole Milk,0.69
2024-03-01,Netherlands,Skim Milk,0.7
2024-03-01,Netherlands,Cheese,1.21
2024-03-01,Netherlands,Butter,1.51
2024-03-01,Germany,Whole Milk,0.74
2024-03-01,Germany,Skim Milk,0.62
2024-03-01,Germany,Cheese,1.2
2024-03-01,Germany,Butter,1.46
2024-03-01,France,Whole Milk,0.8
2024-03-01,France,Skim Milk,0.58
2024-03-01,France,Cheese,1.25
2024-03-01,France,Butter,1.5
2024-03-01,Poland,Whole Milk,0.84
2024-03-01,Poland,Skim Milk,0.72
2024-03-01,Poland,Cheese,1.21
2024-03-01,Poland,Butter,1.52
2024-03-01,Italy,Whole Milk,0.7
2024-03-01,Italy,Skim Milk,0.69
2024-03-01,Italy,Cheese,1.22
2024-03-01,Italy,Butter,1.56
2024-04-01,Netherlands,Whole Milk,0.75
2024-04-01,Netherlands,Skim Milk,0.58
2024-04-01,Netherlands,Cheese,1.17
2024-04-01,Netherlands,Butter,1.47
2024-04-01,Germany,Whole Milk,0.65
2024-04-01,Germany,Skim Milk,0.68
2024-04-01,Germany,Cheese,1.25
2024-04-01,Germany,Butter,1.43
2024-04-01,France,Whole Milk,0.65
2024-04-01,France,Skim Milk,0.59
2024-04-01,France,Cheese,1.16
2024-04-01,France,Butter,1.52
2024-04-01,Poland,Whole Milk,0.8
2024-04-01,Poland,Skim Milk,0.69
2024-04-01,Poland,Cheese,1.22
2024-04-01,Poland,Butter,1.49
2024-04-01,Italy,Whole Milk,0.78
2024-04-01,Italy,Skim Milk,0.61
2024-04-01,Italy,Cheese,1.2
2024-04-01,Italy,Butter,1.49
2024-05-01,Netherlands,Whole Milk,0.78
2024-05-01,Netherlands,Skim Milk,0.65
2024-05-01,Netherlands,Cheese,1.26
2024-05-01,Netherlands,Butter,1.41
2024-05-01,Germany,Whole Milk,0.82
2024-05-01,Germany,Skim Milk,0.68
2024-05-01,Germany,Cheese,1.2
2024-05-01,Germany,Butter,1.46
2024-05-01,France,Whole Milk,0.75
2024-05-01,France,Skim Milk,0.65
2024-05-01,France,Cheese,1.16
2024-05-01,France,Butter,1.48
2024-05-01,Poland,Whole Milk,0.75
2024-05-01,Poland,Skim Milk,0.63
2024-05-01,Poland,Cheese,1.2
2024-05-01,Poland,Butter,1.46
2024-05-01,Italy,Whole Milk,0.69
2024-05-01,Italy,Skim Milk,0.71
2024-05-01,Italy,Cheese,1.22
2024-05-01,Italy,Butter,1.46
2024-06-01,Netherlands,Whole Milk,0.69
2024-06-01,Netherlands,Skim Milk,0.66
2024-06-01,Netherlands,Cheese,1.14
2024-06-01,Netherlands,Butter,1.46
2024-06-01,Germany,Whole Milk,0.78
2024-06-01,Germany,Skim Milk,0.61
2024-06-01,Germany,Cheese,1.22
2024-06-01,Germany,Butter,1.47
2024-06-01,France,Whole Milk,0.77
2024-06-01,France,Skim Milk,0.62
2024-06-01,France,Cheese,1.14
2024-06-01,France,Butter,1.58
2024-06-01,Poland,Whole Milk,0.72
2024-06-01,Poland,Skim Milk,0.68
2024-06-01,Poland,Cheese,1.22
2024-06-01,Poland,Butter,1.47
2024-06-01,Italy,Whole Milk,0.77
2024-06-01,Italy,Skim Milk,0.69
2024-06-01,Italy,Cheese,1.23
2024-06-01,Italy,Butter,1.56
2024-07-01,Netherlands,Whole Milk,0.68
2024-07-01,Netherlands,Skim Milk,0.65
2024-07-01,Netherlands,Cheese,1.21
2024-07-01,Netherlands,Butter,1.59
2024-07-01,Germany,Whole Milk,0.7
2024-07-01,Germany,Skim Milk,0.7
2024-07-01,Germany,Cheese,1.18
2024-07-01,Germany,Butter,1.43
2024-07-01,France,Whole Milk,0.78
2024-07-01,France,Skim Milk,0.66
2024-07-01,France,Cheese,1.21
2024-07-01,France,Butter,1.51
2024-07-01,Poland,Whole Milk,0.81
2024-07-01,Poland,Skim Milk,0.64
2024-07-01,Poland,Cheese,1.21
2024-07-01,Poland,Butter,1.53
2024-07-01,Italy,Whole Milk,0.78
2024-07-01,Italy,Skim Milk,0.7
2024-07-01,Italy,Cheese,1.22
2024-07-01,Italy,Butter,1.5
2024-08-01,Netherlands,Whole Milk,0.75
2024-08-01,Netherlands,Skim Milk,0.65
2024-08-01,Netherlands,Cheese,1.21
2024-08-01,Netherlands,Butter,1.52
2024-08-01,Germany,Whole Milk,0.74
2024-08-01,Germany,Skim Milk,0.59
2024-08-01,Germany,Cheese,1.09
2024-08-01,Germany,Butter,1.5
2024-08-01,France,Whole Milk,0.75
2024-08-01,France,Skim Milk,0.64
2024-08-01,France,Cheese,1.17
2024-08-01,France,Butter,1.52
2024-08-01,Poland,Whole Milk,0.81
2024-08-01,Poland,Skim Milk,0.67
2024-08-01,Poland,Cheese,1.18
2024-08-01,Poland,Butter,1.46
2024-08-01,Italy,Whole Milk,0.75
2024-08-01,Italy,Skim Milk,0.61
2024-08-01,Italy,Cheese,1.22
2024-08-01,Italy,Butter,1.48
2024-09-01,Netherlands,Whole Milk,0.66
2024-09-01,Netherlands,Skim Milk,0.75
2024-09-01,Netherlands,Cheese,1.23
2024-09-01,Netherlands,Butter,1.47
2024-09-01,Germany,Whole Milk,0.82
2024-09-01,Germany,Skim Milk,0.7
2024-09-01,Germany,Cheese,1.33
2024-09-01,Germany,Butter,1.52
2024-09-01,France,Whole Milk,0.62
2024-09-01,France,Skim Milk,0.65
2024-09-01,France,Cheese,1.19
2024-09-01,France,Butter,1.52
2024-09-01,Poland,Whole Milk,0.69
2024-09-01,Poland,Skim Milk,0.61
2024-09-01,Poland,Cheese,1.14
2024-09-01,Poland,Butter,1.58
2024-09-01,Italy,Whole Milk,0.61
2024-09-01,Italy,Skim Milk,0.66
2024-09-01,Italy,Cheese,1.2
2024-09-01,Italy,Butter,1.49
2024-10-01,Netherlands,Whole Milk,0.77
2024-10-01,Netherlands,Skim Milk,0.58
2024-10-01,Netherlands,Cheese,1.15
2024-10-01,Netherlands,Butter,1.5
2024-10-01,Germany,Whole Milk,0.82
2024-10-01,Germany,Skim Milk,0.7
2024-10-01,Germany,Cheese,1.23
2024-10-01,Germany,Butter,1.46
2024-10-01,France,Whole Milk,0.67
2024-10-01,France,Skim Milk,0.66
2024-10-01,France,Cheese,1.22
2024-10-01,France,Butter,1.49
2024-10-01,Poland,Whole Milk,0.81
2024-10-01,Poland,Skim Milk,0.69
2024-10-01,Poland,Cheese,1.13
2024-10-01,Poland,Butter,1.5
2024-10-01,Italy,Whole Milk,0.79
2024-10-01,Italy,Skim Milk,0.66
2024-10-01,Italy,Cheese,1.2
2024-10-01,Italy,Butter,1.47
2024-11-01,Netherlands,Whole Milk,0.72
2024-11-01,Netherlands,Skim Milk,0.65
2024-11-01,Netherlands,Cheese,1.14
2024-11-01,Netherlands,Butter,1.51
2024-11-01,Germany,Whole Milk,0.79
2024-11-01,Germany,Skim Milk,0.6
2024-11-01,Germany,Cheese,1.19
2024-11-01,Germany,Butter,1.52
2024-11-01,France,Whole Milk,0.78
2024-11-01,France,Skim Milk,0.59
2024-11-01,France,Cheese,1.21
2024-11-01,France,Butter,1.49
2024-11-01,Poland,Whole Milk,0.75
2024-11-01,Poland,Skim Milk,0.68
2024-11-01,Poland,Cheese,1.18
2024-11-01,Poland,Butter,1.45
2024-11-01,Italy,Whole Milk,0.7
2024-11-01,Italy,Skim Milk,0.66
2024-11-01,Italy,Cheese,1.18
2024-11-01,Italy,Butter,1.44
2024-12-01,Netherlands,Whole Milk,0.81
2024-12-01,Netherlands,Skim Milk,0.66
2024-12-01,Netherlands,Cheese,1.27
2024-12-01,Netherlands,Butter,1.49
2024-12-01,Germany,Whole Milk,0.77
2024-12-01,Germany,Skim Milk,0.63
2024-12-01,Germany,Cheese,1.16
2024-12-01,Germany,Butter,1.44
2024-12-01,France,Whole Milk,0.76
2024-12-01,France,Skim Milk,0.51
2024-12-01,France,Cheese,1.22
2024-12-01,France,Butter,1.53
2024-12-01,Poland,Whole Milk,0.73
2024-12-01,Poland,Skim Milk,0.69
2024-12-01,Poland,Cheese,1.13
2024-12-01,Poland,Butter,1.51
2024-12-01,Italy,Whole Milk,0.76
2024-12-01,Italy,Skim Milk,0.65
2024-12-01,Italy,Cheese,1.19
2024-12-01,Italy,Butter,1.51
